encode,Class
"[60, 105, 109, 103, 32, 111, 110, 109, 111, 117, 115, 101, 111, 118, 101, 114, 61, 34, 116, 104, 105, 115, 46, 115, 116, 121, 108, 101, 46, 99, 117, 114, 115, 111, 114, 61, 39, 112, 111, 105, 110, 116, 101, 114, 39, 34, 32, 111, 110, 109, 111, 117, 115, 101, 111, 117, 116, 61, 34, 116, 104, 105, 115, 46, 115, 116, 121, 108, 101, 46, 99, 117, 114, 115, 111, 114, 61, 39, 39, 34, 62]",1
"[36, 40, 101, 108, 101, 109, 101, 110, 116, 41, 46, 119, 105, 100, 116, 104, 40, 36, 40, 101, 108, 101, 109, 101, 110, 116, 41, 46, 119, 105, 100, 116, 104, 40, 41, 41, 59, 13, 10, 36, 40, 101, 108, 101, 109, 101, 110, 116, 41, 46, 104, 101, 105, 103, 104, 116, 40, 36, 40, 101, 108, 101, 109, 101, 110, 116, 41, 46, 104, 101, 105, 103, 104, 116, 40, 41, 41, 59]",1
"[102, 117, 110, 99, 116, 105, 111, 110, 32, 109, 111, 118, 101, 117, 112, 40, 41, 32, 123, 13, 10, 32, 32, 32, 32, 32, 32, 32, 32, 105, 102, 32, 40, 100, 111, 99, 117, 109, 101, 110, 116, 46, 97, 108, 108, 46, 109, 101, 110, 117, 101, 100, 105, 116, 46, 109, 101, 110, 117, 105, 116, 101, 109, 115, 108, 105, 115, 116, 46, 115, 101, 108, 101, 99, 116, 101, 100, 73, 110, 100, 101, 120, 32, 62, 32, 48, 41, 32, 123, 13, 10, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 118, 97, 114, 32, 97, 100, 100, 116, 32, 61, 32, 100, 111, 99, 117, 109, 101, 110, 116, 46, 97, 108, 108, 46, 109, 101, 110, 117, 101, 100, 105, 116, 46, 109, 101, 110, 117, 105, 116, 101, 109, 115, 108, 105, 115, 116, 46, 111, 112, 116, 105, 111, 110, 115, 40, 100, 111, 99, 117, 109, 101, 110, 116, 46, 97, 108, 108, 46, 109, 101, 110, 117, 101, 100, 105, 116, 46, 109, 101, 110, 117, 105, 116, 101, 109, 115, 108, 105, 115, 116, 46, 115, 101, 108, 101, 99, 116, 101, 100, 73, 110, 100, 101, 120, 41, 46, 116, 101, 120, 116, 59, 13, 10, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 118, 97, 114, 32, 97, 100, 100, 118, 32, 61, 32, 100, 111, 99, 117, 109, 101, 110, 116, 46, 97, 108, 108, 46, 109, 101, 110, 117, 101, 100, 105, 116, 46, 109, 101, 110, 117, 105, 116, 101, 109, 115, 108, 105, 115, 116, 46, 111, 112, 116, 105, 111, 110, 115, 40, 100, 111, 99, 117, 109, 101, 110, 116, 46, 97, 108, 108, 46, 109, 101, 110, 117, 101, 100, 105, 116, 46, 109, 101, 110, 117, 105, 116, 101, 109, 115, 108, 105, 115, 116, 46, 115, 101, 108, 101, 99, 116, 101, 100, 73, 110, 100, 101, 120, 41, 46, 118, 97, 108, 117, 101, 59, 13, 10, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 118, 97, 114, 32, 97, 100, 100, 116, 111, 108, 100, 32, 61, 32, 100, 111, 99, 117, 109, 101, 110, 116, 46, 97, 108, 108, 46, 109, 101, 110, 117, 101, 100, 105, 116, 46, 109, 101, 110, 117, 105, 116, 101, 109, 115, 108, 105, 115, 116, 46, 111, 112, 116, 105, 111, 110, 115, 40, 100, 111, 99, 117, 109, 101, 110, 116, 46, 97, 108, 108, 46, 109, 101, 110, 117, 101, 100, 105, 116, 46, 109, 101, 110, 117, 105, 116, 101, 109, 115, 108, 105, 115, 116, 46, 115, 101, 108, 101, 99, 116, 101, 100, 73, 110, 100, 101, 120, 32, 45, 32, 49, 41, 46, 116, 101, 120, 116, 59, 13, 10, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 118, 97, 114, 32, 97, 100, 100, 118, 111, 108, 100, 32, 61, 32]",1
"[100, 111, 99, 117, 109, 101, 110, 116, 46, 97, 108, 108, 46, 109, 101, 110, 117, 101, 100, 105, 116, 46, 109, 101, 110, 117, 105, 116, 101, 109, 115, 108, 105, 115, 116, 46, 111, 112, 116, 105, 111, 110, 115, 40, 100, 111, 99, 117, 109, 101, 110, 116, 46, 97, 108, 108, 46, 109, 101, 110, 117, 101, 100, 105, 116, 46, 109, 101, 110, 117, 105, 116, 101, 109, 115, 108, 105, 115, 116, 46, 115, 101, 108, 101, 99, 116, 101, 100, 73, 110, 100, 101, 120, 32, 45, 32, 49, 41, 46, 118, 97, 108, 117, 101, 59, 13, 10, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 100, 111, 99, 117, 109, 101, 110, 116, 46, 97, 108, 108, 46, 109, 101, 110, 117, 101, 100, 105, 116, 46, 109, 101, 110, 117, 105, 116, 101, 109, 115, 108, 105, 115, 116, 46, 111, 112, 116, 105, 111, 110, 115, 40, 100, 111, 99, 117, 109, 101, 110, 116, 46, 97, 108, 108, 46, 109, 101, 110, 117, 101, 100, 105, 116, 46, 109, 101, 110, 117, 105, 116, 101, 109, 115, 108, 105, 115, 116, 46, 115, 101, 108, 101, 99, 116, 101, 100, 73, 110, 100, 101, 120, 32, 45, 32, 49, 41, 46, 116, 101, 120, 116, 32, 61, 32, 97, 100, 100, 116, 59, 13, 10, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 100, 111, 99, 117, 109, 101, 110, 116, 46, 97, 108, 108, 46, 109, 101, 110, 117, 101, 100, 105, 116, 46, 109, 101, 110, 117, 105, 116, 101, 109, 115, 108, 105, 115, 116, 46, 111, 112, 116, 105, 111, 110, 115, 40, 100, 111, 99, 117, 109, 101, 110, 116, 46, 97, 108, 108, 46, 109, 101, 110, 117, 101, 100, 105, 116, 46, 109, 101, 110, 117, 105, 116, 101, 109, 115, 108, 105, 115, 116, 46, 115, 101, 108, 101, 99, 116, 101, 100, 73, 110, 100, 101, 120, 32, 45, 32, 49, 41, 46, 118, 97, 108, 117, 101, 32, 61, 32, 97, 100, 100, 118, 59, 13, 10, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 100, 111, 99, 117, 109, 101, 110, 116, 46, 97, 108, 108, 46, 109, 101, 110, 117, 101, 100, 105, 116, 46, 109, 101, 110, 117, 105, 116, 101, 109, 115, 108, 105, 115, 116, 46, 111, 112, 116, 105, 111, 110, 115, 40, 100, 111, 99, 117, 109, 101, 110, 116, 46, 97, 108, 108, 46, 109, 101, 110, 117, 101, 100, 105, 116, 46, 109, 101, 110, 117, 105, 116, 101, 109, 115, 108, 105, 115, 116, 46, 115, 101, 108, 101, 99, 116, 101, 100, 73, 110, 100, 101, 120, 41, 46, 116, 101, 120, 116, 32, 61, 32, 97, 100, 100, 116, 111, 108, 100, 59, 13, 10, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 100, 111, 99, 117, 109, 101]",1
"[110, 116, 46, 97, 108, 108, 46, 109, 101, 110, 117, 101, 100, 105, 116, 46, 109, 101, 110, 117, 105, 116, 101, 109, 115, 108, 105, 115, 116, 46, 111, 112, 116, 105, 111, 110, 115, 40, 100, 111, 99, 117, 109, 101, 110, 116, 46, 97, 108, 108, 46, 109, 101, 110, 117, 101, 100, 105, 116, 46, 109, 101, 110, 117, 105, 116, 101, 109, 115, 108, 105, 115, 116, 46, 115, 101, 108, 101, 99, 116, 101, 100, 73, 110, 100, 101, 120, 41, 46, 118, 97, 108, 117, 101, 32, 61, 32, 97, 100, 100, 118, 111, 108, 100, 59, 13, 10, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 100, 111, 99, 117, 109, 101, 110, 116, 46, 97, 108, 108, 46, 109, 101, 110, 117, 101, 100, 105, 116, 46, 109, 101, 110, 117, 105, 116, 101, 109, 115, 108, 105, 115, 116, 46, 115, 101, 108, 101, 99, 116, 101, 100, 73, 110, 100, 101, 120, 32, 61, 32, 100, 111, 99, 117, 109, 101, 110, 116, 46, 97, 108, 108, 46, 109, 101, 110, 117, 101, 100, 105, 116, 46, 109, 101, 110, 117, 105, 116, 101, 109, 115, 108, 105, 115, 116, 46, 115, 101, 108, 101, 99, 116, 101, 100, 73, 110, 100, 101, 120, 32, 45, 32, 49, 59, 13, 10, 32, 32, 32, 32, 32, 32, 32, 32, 125, 13, 10, 32, 32, 32, 32, 125, 13, 10, 32, 32, 32, 32, 102, 117, 110, 99, 116, 105, 111, 110, 32, 109, 111, 118, 101, 100, 111, 119, 110, 40, 41, 32, 123, 13, 10, 32, 32, 32, 32, 32, 32, 32, 32, 105, 102, 32, 40, 40, 100, 111, 99, 117, 109, 101, 110, 116, 46, 97, 108, 108, 46, 109, 101, 110, 117, 101, 100, 105, 116, 46, 109, 101, 110, 117, 105, 116, 101, 109, 115, 108, 105, 115, 116, 46, 115, 101, 108, 101, 99, 116, 101, 100, 73, 110, 100, 101, 120, 32, 62, 32, 45, 49, 41, 32, 38, 38, 32, 40, 100, 111, 99, 117, 109, 101, 110, 116, 46, 97, 108, 108, 46, 109, 101, 110, 117, 101, 100, 105, 116, 46, 109, 101, 110, 117, 105, 116, 101, 109, 115, 108, 105, 115, 116, 46, 115, 101, 108, 101, 99, 116, 101, 100, 73, 110, 100, 101, 120, 32, 60, 32, 40, 100, 111, 99, 117, 109, 101, 110, 116, 46, 97, 108, 108, 46, 109, 101, 110, 117, 101, 100, 105, 116, 46, 109, 101, 110, 117, 105, 116, 101, 109, 115, 108, 105, 115, 116, 46, 108, 101, 110, 103, 116, 104, 32, 45, 32, 49, 41, 41, 41, 32, 123, 13, 10, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 118, 97, 114, 32, 97, 100, 100, 116, 32, 61, 32, 100, 111, 99, 117, 109, 101, 110, 116, 46, 97, 108, 108, 46, 109, 101, 110, 117, 101, 100, 105, 116, 46, 109, 101, 110, 117]",1
"[105, 116, 101, 109, 115, 108, 105, 115, 116, 46, 111, 112, 116, 105, 111, 110, 115, 40, 100, 111, 99, 117, 109, 101, 110, 116, 46, 97, 108, 108, 46, 109, 101, 110, 117, 101, 100, 105, 116, 46, 109, 101, 110, 117, 105, 116, 101, 109, 115, 108, 105, 115, 116, 46, 115, 101, 108, 101, 99, 116, 101, 100, 73, 110, 100, 101, 120, 41, 46, 116, 101, 120, 116, 59, 13, 10, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 118, 97, 114, 32, 97, 100, 100, 118, 32, 61, 32, 100, 111, 99, 117, 109, 101, 110, 116, 46, 97, 108, 108, 46, 109, 101, 110, 117, 101, 100, 105, 116, 46, 109, 101, 110, 117, 105, 116, 101, 109, 115, 108, 105, 115, 116, 46, 111, 112, 116, 105, 111, 110, 115, 40, 100, 111, 99, 117, 109, 101, 110, 116, 46, 97, 108, 108, 46, 109, 101, 110, 117, 101, 100, 105, 116, 46, 109, 101, 110, 117, 105, 116, 101, 109, 115, 108, 105, 115, 116, 46, 115, 101, 108, 101, 99, 116, 101, 100, 73, 110, 100, 101, 120, 41, 46, 118, 97, 108, 117, 101, 59, 13, 10, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 118, 97, 114, 32, 97, 100, 100, 116, 111, 108, 100, 32, 61, 32, 100, 111, 99, 117, 109, 101, 110, 116, 46, 97, 108, 108, 46, 109, 101, 110, 117, 101, 100, 105, 116, 46, 109, 101, 110, 117, 105, 116, 101, 109, 115, 108, 105, 115, 116, 46, 111, 112, 116, 105, 111, 110, 115, 40, 100, 111, 99, 117, 109, 101, 110, 116, 46, 97, 108, 108, 46, 109, 101, 110, 117, 101, 100, 105, 116, 46, 109, 101, 110, 117, 105, 116, 101, 109, 115, 108, 105, 115, 116, 46, 115, 101, 108, 101, 99, 116, 101, 100, 73, 110, 100, 101, 120, 32, 43, 32, 49, 41, 46, 116, 101, 120, 116, 59, 13, 10, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 118, 97, 114, 32, 97, 100, 100, 118, 111, 108, 100, 32, 61, 32, 100, 111, 99, 117, 109, 101, 110, 116, 46, 97, 108, 108, 46, 109, 101, 110, 117, 101, 100, 105, 116, 46, 109, 101, 110, 117, 105, 116, 101, 109, 115, 108, 105, 115, 116, 46, 111, 112, 116, 105, 111, 110, 115, 40, 100, 111, 99, 117, 109, 101, 110, 116, 46, 97, 108, 108, 46, 109, 101, 110, 117, 101, 100, 105, 116, 46, 109, 101, 110, 117, 105, 116, 101, 109, 115, 108, 105, 115, 116, 46, 115, 101, 108, 101, 99, 116, 101, 100, 73, 110, 100, 101, 120, 32, 43, 32, 49, 41, 46, 118, 97, 108, 117, 101, 59, 13, 10, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 100, 111, 99, 117, 109, 101, 110, 116, 46, 97, 108, 108, 46, 109, 101, 110, 117, 101, 100, 105, 116]",1
"[46, 109, 101, 110, 117, 105, 116, 101, 109, 115, 108, 105, 115, 116, 46, 111, 112, 116, 105, 111, 110, 115, 40, 100, 111, 99, 117, 109, 101, 110, 116, 46, 97, 108, 108, 46, 109, 101, 110, 117, 101, 100, 105, 116, 46, 109, 101, 110, 117, 105, 116, 101, 109, 115, 108, 105, 115, 116, 46, 115, 101, 108, 101, 99, 116, 101, 100, 73, 110, 100, 101, 120, 32, 43, 32, 49, 41, 46, 116, 101, 120, 116, 32, 61, 32, 97, 100, 100, 116, 59, 13, 10, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 100, 111, 99, 117, 109, 101, 110, 116, 46, 97, 108, 108, 46, 109, 101, 110, 117, 101, 100, 105, 116, 46, 109, 101, 110, 117, 105, 116, 101, 109, 115, 108, 105, 115, 116, 46, 111, 112, 116, 105, 111, 110, 115, 40, 100, 111, 99, 117, 109, 101, 110, 116, 46, 97, 108, 108, 46, 109, 101, 110, 117, 101, 100, 105, 116, 46, 109, 101, 110, 117, 105, 116, 101, 109, 115, 108, 105, 115, 116, 46, 115, 101, 108, 101, 99, 116, 101, 100, 73, 110, 100, 101, 120, 32, 43, 32, 49, 41, 46, 118, 97, 108, 117, 101, 32, 61, 32, 97, 100, 100, 118, 59, 13, 10, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 100, 111, 99, 117, 109, 101, 110, 116, 46, 97, 108, 108, 46, 109, 101, 110, 117, 101, 100, 105, 116, 46, 109, 101, 110, 117, 105, 116, 101, 109, 115, 108, 105, 115, 116, 46, 111, 112, 116, 105, 111, 110, 115, 40, 100, 111, 99, 117, 109, 101, 110, 116, 46, 97, 108, 108, 46, 109, 101, 110, 117, 101, 100, 105, 116, 46, 109, 101, 110, 117, 105, 116, 101, 109, 115, 108, 105, 115, 116, 46, 115, 101, 108, 101, 99, 116, 101, 100, 73, 110, 100, 101, 120, 41, 46, 116, 101, 120, 116, 32, 61, 32, 97, 100, 100, 116, 111, 108, 100, 59, 13, 10, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 100, 111, 99, 117, 109, 101, 110, 116, 46, 97, 108, 108, 46, 109, 101, 110, 117, 101, 100, 105, 116, 46, 109, 101, 110, 117, 105, 116, 101, 109, 115, 108, 105, 115, 116, 46, 111, 112, 116, 105, 111, 110, 115, 40, 100, 111, 99, 117, 109, 101, 110, 116, 46, 97, 108, 108, 46, 109, 101, 110, 117, 101, 100, 105, 116, 46, 109, 101, 110, 117, 105, 116, 101, 109, 115, 108, 105, 115, 116, 46, 115, 101, 108, 101, 99, 116, 101, 100, 73, 110, 100, 101, 120, 41, 46, 118, 97, 108, 117, 101, 32, 61, 32, 97, 100, 100, 118, 111, 108, 100, 59, 13, 10, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 100, 111, 99, 117, 109, 101, 110, 116, 46, 97, 108, 108, 46, 109, 101, 110, 117, 101, 100, 105, 116]",1
"[46, 109, 101, 110, 117, 105, 116, 101, 109, 115, 108, 105, 115, 116, 46, 115, 101, 108, 101, 99, 116, 101, 100, 73, 110, 100, 101, 120, 32, 61, 32, 100, 111, 99, 117, 109, 101, 110, 116, 46, 97, 108, 108, 46, 109, 101, 110, 117, 101, 100, 105, 116, 46, 109, 101, 110, 117, 105, 116, 101, 109, 115, 108, 105, 115, 116, 46, 115, 101, 108, 101, 99, 116, 101, 100, 73, 110, 100, 101, 120, 32, 43, 32, 49, 59, 13, 10, 13, 10, 32, 32, 32, 32, 32, 32, 32, 32, 125, 13, 10, 32, 32, 32, 32, 125]",1
"[47, 42, 13, 10, 32, 32, 32, 46, 13, 10, 32, 32, 32, 32, 32, 32, 36, 84, 111, 68, 101, 99, 111, 100, 101, 46, 13, 10, 32, 32, 32, 58, 32, 94, 78, 78, 44, 32, 32, 78, 78, 32, 45, 32, 32, 32, 40, 32, 32, 32, 44, 32, 32, 32, 41, 46, 13, 10, 48, 49, 32, 45, 32, 44, 32, 48, 50, 32, 45, 32, 44, 32, 46, 46, 46, 32, 51, 49, 32, 45, 32, 44, 32, 51, 50, 32, 45, 32, 44, 32, 51, 51, 32, 45, 32, 44, 32, 51, 52, 32, 45, 32, 44, 32, 51, 53, 32, 45, 32, 44, 32, 46, 46, 46, 44, 32, 54, 52, 32, 45, 32, 44, 32, 54, 53, 32, 45, 32, 44, 32, 54, 54, 32, 45, 32, 13, 10, 32, 44, 32, 32, 32, 32, 32, 32, 46, 13, 10, 32, 32, 46, 13, 10, 42, 47, 13, 10, 102, 117, 110, 99, 116, 105, 111, 110, 32, 100, 101, 99, 111, 100, 105, 110, 103, 32, 40, 84, 111, 68, 101, 99, 111, 100, 101, 41, 13, 10, 32, 32, 123, 13, 10, 32, 32, 118, 97, 114, 32, 82, 101, 115, 117, 108, 116, 32, 61, 32, 39, 39, 13, 10, 32, 32, 118, 97, 114, 32, 108, 101, 110, 32, 61, 32, 84, 111, 68, 101, 99, 111, 100, 101, 46, 108, 101, 110, 103, 116, 104, 13, 10, 32, 32, 118, 97, 114, 32, 99, 104, 61, 39, 39, 13, 10, 32, 32, 118, 97, 114, 32, 105, 32, 61, 32, 48, 13, 10, 32, 32, 119, 104, 105, 108, 101, 32, 40, 105, 60, 108, 101, 110, 41, 13, 10, 32, 32, 32, 32, 123, 13, 10, 32, 32, 32, 32, 99, 104, 32, 61, 32, 84, 111, 68, 101, 99, 111, 100, 101, 46, 99, 104, 97, 114, 65, 116, 40, 105, 41, 13, 10, 13, 10, 32, 32, 32, 32, 105, 102, 32, 40, 99, 104, 32, 61, 61, 32, 39, 94, 39, 41, 13, 10, 32, 32, 32, 32, 32, 32, 123, 13, 10, 32, 32, 32, 32, 32, 32, 32, 99, 104, 61, 99, 104, 43, 84, 111, 68, 101, 99, 111, 100, 101, 46, 99, 104, 97, 114, 65, 116, 40, 105, 43, 49, 41, 43, 84, 111, 68, 101, 99, 111, 100, 101, 46, 99, 104, 97, 114, 65, 116, 40, 105, 43, 50, 41, 13, 10, 32, 32, 32, 32, 32, 32, 32, 105, 102, 32, 40, 99, 104, 61, 61, 39, 94, 48, 49, 39, 41, 32, 123, 99, 104, 32, 61, 32, 39, 39, 59, 125, 32, 105, 102, 32, 40, 99, 104, 61, 61, 39, 94, 48, 50, 39, 41, 32, 123, 99, 104, 32, 61, 32, 39, 39, 59, 125, 32, 105, 102, 32, 40, 99, 104, 61, 61, 39, 94, 48, 51, 39, 41, 32, 123, 99, 104, 32, 61, 32, 39, 39, 59, 125, 13, 10, 32, 32, 32, 32, 32, 32, 32, 105]",1
"[102, 32, 40, 99, 104, 61, 61, 39, 94, 48, 52, 39, 41, 32, 123, 99, 104, 32, 61, 32, 39, 39, 59, 125, 32, 105, 102, 32, 40, 99, 104, 61, 61, 39, 94, 48, 53, 39, 41, 32, 123, 99, 104, 32, 61, 32, 39, 39, 59, 125, 32, 105, 102, 32, 40, 99, 104, 61, 61, 39, 94, 48, 54, 39, 41, 32, 123, 99, 104, 32, 61, 32, 39, 39, 59, 125, 13, 10, 32, 32, 32, 32, 32, 32, 32, 105, 102, 32, 40, 99, 104, 61, 61, 39, 94, 48, 55, 39, 41, 32, 123, 99, 104, 32, 61, 32, 39, 39, 59, 125, 32, 105, 102, 32, 40, 99, 104, 61, 61, 39, 94, 48, 56, 39, 41, 32, 123, 99, 104, 32, 61, 32, 39, 39, 59, 125, 32, 105, 102, 32, 40, 99, 104, 61, 61, 39, 94, 48, 57, 39, 41, 32, 123, 99, 104, 32, 61, 32, 39, 39, 59, 125, 13, 10, 32, 32, 32, 32, 32, 32, 32, 105, 102, 32, 40, 99, 104, 61, 61, 39, 94, 49, 48, 39, 41, 32, 123, 99, 104, 32, 61, 32, 39, 39, 59, 125, 32, 105, 102, 32, 40, 99, 104, 61, 61, 39, 94, 49, 49, 39, 41, 32, 123, 99, 104, 32, 61, 32, 39, 39, 59, 125, 32, 105, 102, 32, 40, 99, 104, 61, 61, 39, 94, 49, 50, 39, 41, 32, 123, 99, 104, 32, 61, 32, 39, 39, 59, 125, 13, 10, 32, 32, 32, 32, 32, 32, 32, 105, 102, 32, 40, 99, 104, 61, 61, 39, 94, 49, 51, 39, 41, 32, 123, 99, 104, 32, 61, 32, 39, 39, 59, 125, 32, 105, 102, 32, 40, 99, 104, 61, 61, 39, 94, 49, 52, 39, 41, 32, 123, 99, 104, 32, 61, 32, 39, 39, 59, 125, 32, 105, 102, 32, 40, 99, 104, 61, 61, 39, 94, 49, 53, 39, 41, 32, 123, 99, 104, 32, 61, 32, 39, 39, 59, 125, 13, 10, 32, 32, 32, 32, 32, 32, 32, 105, 102, 32, 40, 99, 104, 61, 61, 39, 94, 49, 54, 39, 41, 32, 123, 99, 104, 32, 61, 32, 39, 39, 59, 125, 32, 105, 102, 32, 40, 99, 104, 61, 61, 39, 94, 49, 55, 39, 41, 32, 123, 99, 104, 32, 61, 32, 39, 39, 59, 125, 32, 105, 102, 32, 40, 99, 104, 61, 61, 39, 94, 49, 56, 39, 41, 32, 123, 99, 104, 32, 61, 32, 39, 39, 59, 125, 13, 10, 32, 32, 32, 32, 32, 32, 32, 105, 102, 32, 40, 99, 104, 61, 61, 39, 94, 49, 57, 39, 41, 32, 123, 99, 104, 32, 61, 32, 39, 39, 59, 125, 32, 105, 102, 32, 40, 99, 104, 61, 61, 39, 94, 50, 48, 39, 41, 32, 123, 99, 104, 32, 61, 32, 39, 39, 59, 125, 32, 105, 102, 32, 40, 99, 104, 61, 61, 39, 94, 50, 49, 39, 41, 32, 123, 99, 104, 32]",1
